APPLE,A common fruit
BAKER,Someone who who bakes bread
CANDY,A sweet treat
DREAM,Something you experience while sleeping
EAGLE,A large bird of prey
FANCY,Elaborate or decorative
GRAPE,A small, round fruit
HAPPY,Feeling or showing pleasure or contentment
IDEAL,Perfect; the best possible
JUMPY,Nervous or easily startled
KITES,Toys flown on a string
LEMON,A yellow citrus fruit
MAGIC,The power of apparently influencing events by supernatural means
NIGHT,The period of darkness in each twenty-four hours
OCEAN,A very large expanse of sea
PEACE,Freedom from disturbance; tranquility
QUEEN,The female ruler of an independent state
RIVER,A large natural stream of water
SUNNY,Bright with sunlight
TIGER,A large solitary cat with a yellow-brown coat striped with black
UNITY,The state of being united or joined as a whole
VIVID,Producing powerful feelings or strong, clear images in the mind
WATER,A colorless, transparent, odorless liquid
XENON,A chemical element, a noble gas
YACHT,A sailing or power vessel used for pleasure cruises or racing
ZEBRA,An African wild horse with black-and-white stripes
ABOVE,At a higher level than
BELOW,At a lower level than
CRANE,A large, tall bird with long legs and a long neck
DAISY,A small European grassland plant
EARTH,The planet on which we live
FROGS,Amphibious tailless amphibians
GIANT,An imaginary being of human form but superhuman size
HOUSE,A building for human habitation
INBOX,An electronic folder for incoming messages
JOKER,A person who likes to tell jokes
KNEEL,To go down on one's knee or knees
LIGHT,The natural agent that stimulates sight
MOUNT,A mountain or hill
NORTH,The direction toward the point of the horizon directly opposite south
OASIS,A fertile spot in a desert
PLANT,A living organism of the kind exemplified by trees, shrubs, herbs, grasses, ferns, and mosses
QUICK,Moving or doing something with great speed
ROBOT,A machine capable of carrying out a complex series of actions automatically
SHINE,A quality of brightness
TABLE,A piece of furniture with a flat top and one or more legs
UNDER,Extending or directly below
VOWEL,A speech sound produced by open vocal tract
WAGON,A vehicle used for transporting goods or another specified purpose
YIELD,Produce or provide (a natural, agricultural, or industrial product)
ZONES,Areas or regions
ACE,Expert
ACT,Play a part
ADD,Sum up
AGE,Grow old
AIR,What we breathe
ALL,Every bit
AND,Plus
ANT,Small insect
APE,Mimic
ARC,Curve
ARE,To be
ARM,Body limb
ART,Creative work
ASH,Fire residue
ASK,Inquire
AWE,Wonder
AXE,Chopping tool
BAD,Not good
BAG,Sack
BAR,Pub
BAT,Flying mammal
BED,Place to sleep
BEE,Pollinator
BIG,Large
BIT,Small piece
BOX,Container
BUG,Insect
BUS,Public transport
BUY,Purchase
CAB,Taxi
CAN,Be able to
CAP,Hat
CAR,Automobile
CAT,Feline pet
COB,Corn on the ___
COD,Fish type
COT,Small bed
COW,Farm animal
CRY,Weep
CUB,Young bear
CUP,Drinking vessel
CUT,Sever
DAD,Father
DAY,24 hours
DEN,Animal's home
DIE,Game cube
DIG,Excavate
DOG,Canine pet
DRY,Not wet
DUE,Owed
EAR,Hearing organ
EAT,Consume food
EGG,Oval food
ELF,Mythical creature
END,Finish
ERA,Period of time
EVE,Night before
EYE,Seeing organ
FAN,Cooling device
FAR,Distant
FAT,Adipose tissue
FEW,Not many
FIG,Sweet fruit
FIN,Fish part
FIT,Healthy
FIX,Repair
FLY,Insect
FOG,Mist
FOR,In favor of
FUN,Enjoyment
FUR,Animal coat
GAP,Opening
GAS,Fuel
GEM,Precious stone
GET,Obtain
GUM,Chewing candy
GUN,Weapon
GUY,Man
HAD,Possessed
HAS,Possesses
HAT,Headwear
HEN,Female chicken
HER,Female pronoun
HIM,Male pronoun
HIP,Body joint
HIS,Belonging to him
HIT,Strike
HOG,Pig
HOT,High temperature
HOW,In what way
HUG,Embrace
HUT,Small dwelling
ICE,Frozen water
INK,Pen fluid
JAB,Quick punch
JAM,Fruit spread
JAR,Container
JET,Fast plane
JOG,Run slowly
JOY,Happiness
JUG,Pitcher
KEY,Lock opener
KID,Young goat
KIN,Family
KIT,Set of tools
LAB,Science room
LAD,Boy
LAP,Circuit
LAW,Rule
LAY,Place down
LED,Light-emitting diode
LEG,Body limb
LET,Allow
LIE,Untruth
LIP,Mouth part
LIT,Illuminated
LOG,Tree trunk
LOT,Many
LOW,Not high
MAD,Angry
MAN,Adult male
MAP,Guide
MAT,Floor covering
MAX,Maximum
MAY,Spring month
MEN,Adult males
MET,Encountered
MOM,Mother
MOP,Cleaning tool
MUD,Wet earth
NET,Fishing gear
NEW,Not old
NIL,Zero
NIP,Pinch
NOD,Head gesture
NOR,Neither ___
NOT,Negative
NOW,At this moment
NUN,Religious woman
NUT,Edible seed
OAK,Tree type
OAR,Rowing tool
OIL,Lubricant
OLD,Aged
ONE,Single
OWL,Nocturnal bird
OWN,Possess
PAD,Cushion
PAL,Friend
PAN,Cooking vessel
PAR,Golf standard
PAT,Gentle tap
PAW,Animal foot
PAY,Give money
PEA,Small green vegetable
PEN,Writing tool
PET,Domestic animal
PIE,Baked dessert
PIG,Farm animal
PIN,Fastener
PIT,Hole
PLY,Layer
POD,Seed case
POP,Burst
POT,Container
PRO,Professional
PUB,Bar
PUP,Young dog
PUT,Place
RAG,Old cloth
RAM,Male sheep
RAN,Did run
RAT,Rodent
RAW,Uncooked
RED,Primary color
RIB,Bone
RID,Free of
RIM,Edge
ROB,Steal
ROD,Stick
ROW,Line
RUB,Friction
RUG,Carpet
RUN,Jog
SAD,Unhappy
SAG,Droop
SAP,Tree fluid
SAT,Did sit
SAW,Cutting tool
SEA,Ocean
SEE,Observe
